LigandID,class,canonical_smiles
"trans,trans-2,4-Hexadienal",1.0,C/C=C/C=C/C=O
6-Methylquinoline,1.0,Cc1ccc2ncccc2c1
Pyruvaldehyde,1.0,CC(=O)C=O
Furfuryl acetate,1.0,CC(=O)OCc1ccco1
1-Penten-3-one,1.0,C=CC(=O)CC
2-Hexenal,1.0,CCC/C=C/C=O
trans-cinnamaldehyde,1.0,O=C/C=C/c1ccccc1
2-Pentenal,1.0,CC/C=C/C=O
2-Furyl methyl ketone,1.0,CC(=O)c1ccco1
Ethyl 3-phenylglycidate,1.0,CCOC(=O)C1OC1c1ccccc1
4-Phenyl-3-buten-2-one,1.0,CC(=O)/C=C/c1ccccc1
trans-Anethole,1.0,C/C=C/c1ccc(OC)cc1
Diacetyl,1.0,CC(=O)C(C)=O
Menthone,1.0,CC(C)[C@@H]1CC[C@@H](C)CC1=O
Resorcinol,1.0,Oc1cccc(O)c1
2-Phenylphenol,1.0,Oc1ccccc1-c1ccccc1
"2,6-Dimethylpyrazine",1.0,Cc1cncc(C)n1
Thiazole,1.0,c1cscn1
Methyl 2-pyrrolyl ketone,1.0,CC(=O)c1ccc[nH]1
Cadinene,1.0,CC(C)[C@@H]1CC[C@H](C)[C@@H]2C=C[C@H](C)C[C@H]21
"4-Hydroxy-2,5-dimethyl-3(2H)-furanone (DMHF)",1.0,CC1=C(O)C(=O)C(C)O1
4-Hydroxy-2-ethyl-5-methyl-3(2H)-furanone (HEMF),1.0,CCC1OC(C)=C(O)C1=O
Maltol,1.0,Cc1occc(=O)c1O
2-Methyl-2-pentenal,0.0,CC/C=C(\C)C=O
alpha-Hexylcinnamaldehyde,0.0,CCCCCC/C(C=O)=C\c1ccccc1
para-Methoxy-alpha-methyl cinnamaldehyde,0.0,COc1ccc(/C=C(\C)C=O)cc1
"para-Mentha-1,8-dien-7-al",0.0,C=C(C)C1CC=C(C=O)CC1
"2,6,6-Trimethylcyclohexa-1,3-dienyl methanal",0.0,CC1=C(C=O)C(C)(C)CC=C1
Citral,0.0,CC(C)=CCC/C(C)=C/C=O
alpha-Methylcinnamaldehyde,0.0,C/C(C=O)=C\c1ccccc1
alpha-Amylcinnamaldehyde,0.0,CCCCC/C(C=O)=C/c1ccccc1
ortho-Methoxycinnamaldehyde,0.0,COc1ccccc1/C=C/C=O
5-Methylfurfural,0.0,Cc1ccc(C=O)o1
"2,4-Nonadienal",0.0,CCCC/C=C/C=C/C=O
Nona-2-trans-6-cis-dienal,0.0,CC/C=C\CC/C=C/C=O
"2-trans,4-trans-Decadienal",0.0,CCCCC/C=C/C=C/C=O
2-Heptenal,0.0,CCCC/C=C/C=O
2-Nonenal,0.0,CCCCCC/C=C/C=O
2-Octenal,0.0,CCCCC/C=C/C=O
2-Methylfuran,0.0,Cc1ccco1
"2,5-Dimethylfuran",0.0,Cc1ccc(C)o1
3-(2-Furyl)acrolein,0.0,O=C/C=C/c1ccco1
Benzyl isothiocyanate,0.0,S=C=NCc1ccccc1
Ethyl methylphenylglycidate,0.0,CCOC(=O)C1OC1(C)c1ccccc1
Dihydroxyacetone,0.0,O=C(CO)CO
Isoamyl formate,0.0,CC(C)CCOC=O
"3,4-Hexanedione",0.0,CCC(=O)C(=O)CC
Methylthio 2-(acetyloxy)propionate,0.0,CSC(=O)C(C)OC(C)=O
Methylthio 2-(propionyloxy)propionate,0.0,CCC(=O)OC(C)C(=O)SC
Allyl mercaptan,0.0,C=CCS
Benzyl mercaptan,0.0,SCc1ccccc1
Benzyl formate,0.0,O=COCc1ccccc1
Phenylacetaldehyde,0.0,O=CCc1ccccc1
para-Tolylacetaldehyde,0.0,Cc1ccc(CC=O)cc1
Methyl 2-nonynoate,0.0,CCCCCCC#CC(=O)OC
Methyl 2-octynoate,0.0,CCCCCC#CC(=O)OC
Allyl thiohexanoate,0.0,C=CCSC(=O)CCCCC
"3,6-Diethyl-1,2,4,5-tetrathiane",0.0,CCC1SSC(CC)SS1
Propionaldehyde,0.0,CCC=O
3-Methylbutyraldehyde,0.0,CC(C)CC=O
4-Methyl-2-pentanone,0.0,CC(=O)CC(C)C
"2,6-Dimethyl-5-heptenal",0.0,CC(C)=CCCC(C)C=O
Acetoin,0.0,CC(=O)C(C)O
"2,3-Pentanedione",0.0,CCC(=O)C(C)=O
"1,2-Ethanedithiol",0.0,SCCS
Dimethyl disulfide,0.0,CSSC
2-Methylpyrazine,0.0,Cc1cnccn1
5-Methylquinoxaline,0.0,Cc1cccc2nccnc12
Isoamyl benzoate,0.0,CC(C)CCOC(=O)c1ccccc1
Methyl anisate,0.0,COC(=O)c1ccc(OC)cc1
Methyl salicylate,0.0,COC(=O)c1ccccc1O
Glycerol,0.0,OCC(O)CO
Isobutyl phenylacetate,0.0,CC(C)COC(=O)Cc1ccccc1
6-Methyl-5-hepten-2-one,0.0,CC(=O)CCC=C(C)C
4-Methyl-3-penten-2-one,0.0,CC(=O)C=C(C)C
(E)-7-Methyl-3-octen-2-one,0.0,CC(=O)/C=C/CCC(C)C
Isoeugenyl benzyl ether,0.0,C/C=C/c1ccc(OCc2ccccc2)c(OC)c1
Methyl anthranilate,0.0,COC(=O)c1ccccc1N
Ethyl anthranilate,0.0,CCOC(=O)c1ccccc1N
Isobutyl anthranilate,0.0,CC(C)COC(=O)c1ccccc1N
Phenylethyl anthranilate,0.0,Nc1ccccc1C(=O)OCCc1ccccc1
Methyl N-methylanthranilate,0.0,CNc1ccccc1C(=O)OC
Methyl N-formylanthranilate,0.0,COC(=O)c1ccccc1NC=O
"α,α-Dimethylphenethyl formate",0.0,CC(C)(Cc1ccccc1)OC=O
Allyl hexanoate,0.0,C=CCOC(=O)CCCCC
Allyl isovalerate,0.0,C=CCOC(=O)CC(C)C
Allyl cinnamate,0.0,C=CCOC(=O)/C=C/c1ccccc1
Benzaldehyde,0.0,O=Cc1ccccc1
Benzyl acetate,0.0,CC(=O)OCc1ccccc1
Benzyl benzoate,0.0,O=C(OCc1ccccc1)c1ccccc1
Benzyl alcohol,0.0,OCc1ccccc1
Isoamyl alcohol,0.0,CC(C)CCO
Geranyl acetate,0.0,CC(=O)OC/C=C(\C)CCC=C(C)C
Formic acid,0.0,O=CO
Acetaldehyde,0.0,CC=O
Acetic acid,0.0,CC(=O)O
Propyl alcohol,0.0,CCCO
Propionic acid,0.0,CCC(=O)O
Butyl alcohol,0.0,CCCCO
Butyraldehyde,0.0,CCCC=O
Butyric acid,0.0,CCCC(=O)O
Amyl alcohol,0.0,CCCCCO
Hexanal,0.0,CCCCCC=O
Hexanoic acid,0.0,CCCCCC(=O)O
Heptanal,0.0,CCCCCCC=O
Heptanoic acid,0.0,CCCCCCC(=O)O
1-Octanol,0.0,CCCCCCCCO
Octanal,0.0,CCCCCCCC=O
Octanoic acid,0.0,CCCCCCCC(=O)O
Nonanal,0.0,CCCCCCCCC=O
Decanal,0.0,CCCCCCCCCC=O
Decanoic acid,0.0,CCCCCCCCCC(=O)O
Undecanal,0.0,CCCCCCCCCCC=O
Lauryl alcohol,0.0,CCCCCCCCCCCCO
Lauric acid,0.0,CCCCCCCCCCCC(=O)O
Myristic acid,0.0,CCCCCCCCCCCCCC(=O)O
1-Hexadecanol,0.0,CCCCCCCCCCCCCCCCO
Stearic acid,0.0,CCCCCCCCCCCCCCCCCC(=O)O
Methyl acetate,0.0,COC(C)=O
Butyl acetate,0.0,CCCCOC(C)=O
Acetone,0.0,CC(C)=O
Butyl stearate,0.0,CCCCCCCCCCCCCCCCC(=O)OCCCC
Ethyl isovalerate,0.0,CCOC(=O)CC(C)C
